businesszip,target
98053-7837,0.008849557522123894
98055,0.37168141592920356
98056,0.061946902654867256
98057,0.35398230088495575
98058,0.008849557522123894
98059,0.04424778761061947
98059-4675,0.017699115044247787
98059-8560,0.008849557522123894
98063-6015,0.008849557522123894
98065,0.017699115044247787
98070,0.008849557522123894
98072,0.035398230088495575
98072-4312,0.008849557522123894
98074,0.02654867256637168
98075,0.02654867256637168
98083,0.035398230088495575
98087,0.08849557522123894
98092,0.017699115044247787
98093,0.04424778761061947
98101,0.26548672566371684
98101-1314,0.008849557522123894
98101-4519,0.008849557522123894
98102,0.061946902654867256
98103,0.11504424778761062
98103-3705,0.017699115044247787
98103-8675,0.008849557522123894
98104,0.9380530973451328
98104-0000,0.035398230088495575
98104-2063,0.035398230088495575
98104-2499,0.23893805309734514
98105,0.13274336283185842
98105-1012,0.18584070796460178
98106,0.017699115044247787
98106-2816,0.008849557522123894
98107,0.17699115044247787
98108,0.1415929203539823
98108-2174,0.017699115044247787
98109,0.24778761061946902
98109-1023,0.07964601769911504
98109-4001,0.017699115044247787
98109-6211,0.008849557522123894
98110,0.08849557522123894
98111,0.04424778761061947
98111-0327,0.017699115044247787
98112,0.04424778761061947
98114-3489,0.008849557522123894
98115,0.13274336283185842
98116,0.08849557522123894
98117,0.02654867256637168
98117-2207,0.02654867256637168
98118,0.07964601769911504
98119,0.11504424778761062
98119-6365,0.07079646017699115
98121,0.07964601769911504
98121-2055,0.017699115044247787
98122,0.39823008849557523
98122-4307,1.3893805309734513
98124,2.601769911504425
98124-0342,0.02654867256637168
98124-0386,0.008849557522123894
98124-0468,0.008849557522123894
98124-0765,0.008849557522123894
98124-0783,0.035398230088495575
98124-1181,0.017699115044247787
98124-1473,0.008849557522123894
98124-2063,0.017699115044247787
98124-3554,0.09734513274336283
98124-3639,0.008849557522123894
98124-3835,0.02654867256637168
98124-5145,0.008849557522123894
98124-5628,0.04424778761061947
98124-5813,0.008849557522123894
98124-5888,0.008849557522123894
98124-6158,0.008849557522123894
98124-6633,0.008849557522123894
98124-6706,0.05309734513274336
98124-7082,0.008849557522123894
98125,0.168141592920354
98126,0.061946902654867256
98126-2716,0.008849557522123894
98133,0.336283185840708
98133-4011,0.008849557522123894
98133-9733,0.008849557522123894
98133-9988,0.035398230088495575
98134,0.04424778761061947
98136,0.008849557522123894
98136-1562,0.008849557522123894
98138-2357,0.07964601769911504
98138-9672,1.345132743362832
98142-06,0.008849557522123894
98144,0.21238938053097345
98144-6847,0.017699115044247787
98145,0.017699115044247787
98145-5005,0.1415929203539823
98145-5095,0.6902654867256637
98146,0.02654867256637168
98148,0.07964601769911504
98155,0.10619469026548672
98155-6800,0.008849557522123894
98161,0.008849557522123894
98164,0.061946902654867256
98166,0.21238938053097345
98166-0657,0.035398230088495575
98166-3003,0.008849557522123894
98168,0.07964601769911504
98177,0.008849557522123894
98177-0008,0.017699115044247787
98177-2725,0.017699115044247787
98178,0.008849557522123894
98180,0.02654867256637168
98188,0.20353982300884957
98188-2877,0.017699115044247787
98195,0.035398230088495575
98195-4692,0.008849557522123894
98198,0.02654867256637168
98199,0.008849557522123894
98201,0.4778761061946903
98201-4324,0.008849557522123894
98202,0.008849557522123894
98203,0.11504424778761062
98204,0.008849557522123894
98204-7332,0.008849557522123894
98206,0.5221238938053098
98208,0.2831858407079646
98208-3725,0.008849557522123894
98209,0.008849557522123894
98212-2874,0.008849557522123894
98216,0.02654867256637168
98221,0.07964601769911504
98221-2562,0.061946902654867256
98223,0.1504424778761062
98223-8417,0.017699115044247787
98225,0.48672566371681414
98225-1937,0.008849557522123894
98225-4945,0.017699115044247787
98225-6223,0.008849557522123894
98226,0.10619469026548672
98228,0.008849557522123894
98229,0.07079646017699115
98229-5844,0.008849557522123894
98230,0.008849557522123894
98233,0.07079646017699115
98234,0.008849557522123894
98239,0.12389380530973451
98239-3427,0.008849557522123894
98248,0.017699115044247787
98250,0.017699115044247787
98251,0.008849557522123894
98252,0.017699115044247787
98258,0.04424778761061947
98259,0.008849557522123894
98260,0.008849557522123894
98270,0.12389380530973451
98271,0.07964601769911504
98272,0.04424778761061947
98272-1108,0.008849557522123894
98273,0.25663716814159293
98274,0.07079646017699115
98274-4127,0.008849557522123894
98275,0.035398230088495575
98275-5453,0.008849557522123894
98277,0.12389380530973451
98277-3119,0.008849557522123894
98284,0.008849557522123894
98290,0.07964601769911504
98292,0.04424778761061947
98292-4100,0.008849557522123894
98294,0.008849557522123894
98310,0.20353982300884957
98310-3335,0.008849557522123894
98311,0.09734513274336283
98312,0.035398230088495575
98327,0.008849557522123894
98329,0.008849557522123894
98331,0.017699115044247787
98332,0.04424778761061947
98335,0.19469026548672566
98335-1220,0.008849557522123894
98337,0.02654867256637168
98338,0.017699115044247787
98339,0.008849557522123894
98346,0.017699115044247787
98354,0.02654867256637168
98356,0.02654867256637168
98359,0.008849557522123894
98362,0.1504424778761062
98362-3997,0.017699115044247787
98366,0.1415929203539823
98367,0.008849557522123894
98368,0.07964601769911504
98370,0.08849557522123894
98370-7445,0.008849557522123894
98371,0.061946902654867256
98371-7590,0.07079646017699115
98372,0.18584070796460178
98372-3715,0.008849557522123894
98373,0.21238938053097345
98373-3692,0.017699115044247787
98374,0.05309734513274336
98375,0.08849557522123894
98382,0.08849557522123894
98383,0.26548672566371684
98383-3510,0.02654867256637168
98383-7680,0.008849557522123894
98387,0.035398230088495575
98390,0.02654867256637168
98391,0.061946902654867256
98391-5634,0.008849557522123894
98400,0.008849557522123894
98401,0.3185840707964602
98401-1258,0.008849557522123894
98401-1737,0.017699115044247787
98401-1858,0.008849557522123894
98401-2157,0.017699115044247787
98401-2197,0.08849557522123894
98401-2356,0.008849557522123894
98401-3011,0.008849557522123894
98402,0.1504424778761062
98402-2596,0.008849557522123894
98402-3400,3.327433628318584
98402-5614,0.017699115044247787
98403,0.017699115044247787
98404,0.008849557522123894
98405,0.4336283185840708
98405-1602,0.008849557522123894
98406,0.07079646017699115
98407,0.02654867256637168
98408,0.10619469026548672
98408-0,0.008849557522123894
98408-1317,0.017699115044247787
98409,0.415929203539823
98409-1124,0.008849557522123894
98415,2.1769911504424777
98418,0.008849557522123894
98421,0.017699115044247787
98424,0.008849557522123894
98431,0.017699115044247787
98444,0.07079646017699115
98445,0.035398230088495575
98446,0.008849557522123894
98447-0003,0.008849557522123894
98448,0.008849557522123894
98456,0.008849557522123894
98465,0.008849557522123894
98466,0.17699115044247787
98467,0.04424778761061947
98467-041,0.02654867256637168
98493,0.02654867256637168
98495,0.008849557522123894
98498,0.05309734513274336
